identificacion;nombre;apellido;direccion;barrio;telefono;genero;edad;profesion
72796195;Teresa;Vasquez;Trans 128 14 50;La Paz;3417962099;F;30;Abogado
72889570;Juan;Carlos;Calle 25 48 36;La Luz;3217611458;M;30;Administrador de Empresa
72716069;Julia;Caseres;Kra 48 70 25;La Esperanza;3328335252;F;21;Ingeniero de Sistemas
72183018;José;Almanares;Calle 15 47 89;Las Torres;3280726624;M;23;Doctor
72498502;Miguel;Valqui;Kra 16 78 45;La Ciudadela;3028792403;M;27;Psicologo
72096497;Pedro;Noriega;Trans 200 14 48;La Flora;3441564887;M;29;Licenciado en Matemáticas
72478829;Manuela;Sanchez;Kra 45 78 96;La Loma;3128307214;F;27;Abogado
72750504;Carlos;Noriega;Calle 14 50 26;La Paz;3415234938;M;27;Administrador de Empresa
72631732;Juan;Sanchez;Trans 20 89 56;La Luz;3113238072;M;23;Ingeniero de Sistemas
72407060;Carmen;Almanares;Kra 25 78 49;La Esperanza;3454858003;F;25;Doctor
72671928;José;Valqui;Kra 12 48 56;Las Torres;3438819625;M;22;Psicologo
72372015;Miguel;Carlos;Kra 13 58 56;La Ciudadela;3036312901;M;26;Licenciado en Matemáticas
72014595;Ana;Caseres;Kra 78 59 63;La Flora;3338699408;F;20;Abogado
72113062;Pedro;Apellido;Calle 28 78 96;La Loma;3453825817;M;21;Administrador de Empresa
72559648;Carlos;Vasquez;Calle 47 89 56;La Paz;3431534784;M;23;Ingeniero de Sistemas
72253840;Eliana;Valqui;Trans 78 56 89;La Luz;3390018614;F;21;Doctor
72753730;Julio;Noriega;Trans 78 89 56;La Esperanza;3318992150;M;29;Psicologo
72290493;Liceth;Sanchez;Kra 58 69 20;Las Torres;3034980634;F;22;Licenciado en Matemáticas
72958698;Miguel;Noriega;Kra 14 89 75;La Ciudadela;3100323020;M;24;Administrador de Empresa
72757835;Pedro;Sanchez;Calle 56 48 79;La Flora;3326824359;M;24;Ingeniero de Sistemas
